var,eowYYYYMMDD,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,North West,Northern Cape,Western Cape,Unknown,Total
Positive,20200509,759,35,457,200,10,18,15,6,3745,101,5346
Tests,20200509,13131,5575,40206,16263,2631,3334,2492,982,22584,979,108177
Positive,20200516,704,90,535,320,13,61,34,7,5187,220,7171
Tests,20200516,8411,7234,27808,16821,2922,2889,1969,1019,28041,1752,98866
Positive,20200523,977,102,584,325,19,62,34,7,6718,222,9050
Tests,20200523,12329,10178,34690,18646,3036,3135,2059,998,33189,1699,119959
Positive,20200530,1550,98,1119,796,18,92,88,12,7836,121,11730
Tests,20200530,14303,7818,37539,19189,3031,3375,2383,1042,33858,876,123414
Positive,20200606,2191,95,2232,570,33,158,218,22,7449,101,13069
Tests,20200606,14382,8439,42887,18039,2884,3596,3044,1031,30366,1353,126021
Positive,20200613,4122,216,6418,788,122,273,442,82,7278,313,20054
Tests,20200613,21556,7874,57063,18263,3199,4723,3951,1185,26958,4012,148784
Positive,20200620,6485,352,11571,1647,180,441,773,50,7737,260,29496
Tests,20200620,24044,7173,65585,17888,3245,5200,4973,1064,27452,2096,158720
Positive,20200627,11394,916,20515,4935,564,664,1208,112,9206,471,49985
Tests,20200627,35237,11412,83947,33787,5080,5403,6531,1392,31699,3269,217757
Positive,20200704,11704,1875,29382,10002,885,1582,2010,226,10034,1096,68796
Tests,20200704,33257,14232,101058,48743,5668,9173,7294,1911,34645,8539,264520
Positive,20200711,11032,3651,-33433,15222,961,2933,2980,275,7743,1144,79374
Tests,20200711,29778,17554,101862,57090,5454,11373,8495,1763,29250,6311,268930
Positive,20200718,8245,5382,29653,18407,1420,3856,3067,453,6544,1164,78191
Tests,20200718,22789,17718,87025,59562,6896,11697,8296,1748,26825,5609,248165
Positive,20200725,6705,6676,23186,18541,1623,4505,2675,945,6306,1114,72276
Tests,20200725,19777,20836,74934,55548,7455,12950,8010,3761,27255,4266,234792
Positive,20200801,4262,5782,15825,14105,1309,4014,2208,1391,4157,860,53913
Tests,20200801,14465,17366,55128,45121,6031,11615,6505,5987,20482,3013,185713
Positive,20200808,2462,4295,10597,9430,1085,3104,1553,1551,2951,62,37090
Tests,20200808,10605,13656,45918,35052,5111,10224,5763,5494,17491,432,149746
Positive,20200815,1293,3205,6468,5093,846,2077,1182,1111,2239,39,23553
Tests,20200815,7808,10932,35359,26315,4154,7562,4287,4551,14991,276,116235
Positive,20200822,1034,2787,4991,3849,735,1612,900,1346,1909,21,19184
Tests,20200822,7511,10168,32345,23468,3933,7062,4298,5493,15022,212,109512
Positive,20200829,820,2424,3607,2721,516,1125,784,1327,1378,14,14716
Tests,20200829,6600,9761,30749,19759,3432,6125,3884,5105,14436,108,99959
Positive,20200905,616,1979,2659,1722,440,782,797,1325,1124,9,11453
